iter	RMSE
740	28279.55972
741	28274.63516
742	28265.93385
743	28258.56825
744	28245.19896
745	28242.61281
746	28216.28988
747	28197.54472
748	28188.08383
749	28180.97267
750	28153.99069
751	28150.76863
752	28144.04171
753	28135.84256
754	28133.6303
755	28111.13731
756	28105.93409
757	28101.88178
758	28096.14728
759	28088.6734
760	28081.38106
761	28077.45199
762	28070.05651
763	28065.72078
764	28058.8403
765	28053.28016
766	28037.80572
767	28035.80362
768	28029.82609
769	28027.11299
770	28021.60044
771	28018.58802
772	28013.54167
773	28005.47181
774	27992.46504
775	27989.14769
776	27982.4069
777	27969.26932
778	27963.49727
779	27956.40178
780	27942.96867
781	27936.64538
782	27931.13417
783	27917.6884
784	27910.48114
785	27905.81783
786	27899.40142
787	27888.15328
788	27882.72187
789	27880.9597
790	27880.03686
791	27876.98413
792	27869.93751
793	27854.37573
794	27846.0052
795	27841.63585
796	27836.42016
797	27826.65004
798	27817.93392
799	27812.55045
800	27795.53828
801	27789.0396
802	27782.57209
803	27780.95453
804	27770.51625
805	27768.79331
806	27749.97021
807	27736.30697
808	27724.41463
809	27712.50596
810	27704.85369
811	27698.07123
812	27695.83893
813	27690.50694
814	27684.58388
815	27668.55768
816	27666.78027
817	27663.53299
818	27661.10672
819	27653.93191
820	27639.99938
821	27633.0315
822	27631.94014
823	27626.50335
824	27621.51777
825	27615.44777
826	27605.04421
827	27593.21872
828	27590.1872
829	27586.98303
830	27581.98491
831	27576.1594
832	27573.84765
833	27572.73389
834	27567.92972
835	27566.00302
836	27562.39821
837	27557.24683
838	27550.62274
839	27543.0486
840	27537.27971
841	27530.79567
842	27512.28803
843	27505.53466
844	27501.54168
845	27501.02282
846	27495.47758
847	27490.03415
848	27487.92953
849	27483.72316
850	27475.24888
851	27466.04524
852	27461.11398
853	27457.21883
854	27454.25311
855	27452.09892
856	27442.14597
857	27434.74447
858	27428.22159
859	27425.71176
860	27422.65207
861	27418.5799
862	27416.70843
863	27415.50468
864	27412.10508
865	27406.05144
866	27401.35075
867	27395.8525
868	27390.58204
869	27382.84739
870	27375.63115
871	27371.43713
872	27367.40895
873	27361.40458
874	27353.2111
875	27348.8885
876	27344.89956
877	27327.07098
878	27324.79651
879	27324.34322
880	27323.89595
881	27302.32397
882	27299.00821
883	27282.84966
884	27277.3849
885	27266.41455
886	27265.139
887	27260.91707
888	27256.95255
889	27248.9496
890	27245.79509
891	27231.43009
892	27226.78261
893	27211.62953
894	27204.19916
895	27200.18837
896	27198.40547
897	27191.19622
898	27186.45342
899	27185.51115
900	27179.31916
901	27178.06128
902	27173.58879
903	27165.97869
904	27151.97574
905	27148.1698
906	27140.18914
907	27123.06398
908	27118.74602
909	27115.44825
910	27109.67708
911	27099.69595
912	27094.81893
913	27092.22778
914	27090.38629
915	27085.28604
916	27080.21236
917	27071.72437
918	27063.58086
919	27060.15248
920	27049.82417
921	27047.6579
922	27043.4788
923	27041.79387
924	27039.26374
925	27031.59936
926	27026.24447
927	27023.49871
928	27021.18702
929	27015.31522
930	27002.44438
931	26997.72035
932	26994.83584
933	26993.27714
934	26987.62207
935	26986.26407
936	26967.70009
937	26963.88135
938	26945.94172
939	26941.91402
940	26938.84205
941	26923.0703
942	26917.28228
943	26913.21246
944	26907.98445
945	26906.84585
946	26903.43097
947	26897.64893
948	26893.77914
949	26891.39606
950	26887.5948
951	26885.57727
952	26883.33409
953	26875.16006
954	26858.06223
955	26853.5273
956	26852.80444
957	26847.9321
958	26846.17761
959	26831.61288
960	26827.56754
961	26820.93375
962	26806.05365
963	26804.46813
964	26798.69215
965	26794.9798
966	26778.00667
967	26774.22198
968	26767.43761
969	26760.45839
970	26752.05271
971	26734.6294
972	26730.72879
973	26727.11498
974	26725.72099
975	26720.26107
976	26717.07539
977	26712.88444
978	26711.52042
979	26710.01747
980	26707.52365
981	26694.42472
982	26690.22632
983	26686.06607
984	26684.32177
985	26681.16191
986	26679.17001
987	26674.93228
988	26672.53558
989	26661.78895
990	26658.75281
991	26656.76671
992	26648.65307
993	26645.05105
994	26640.62055
995	26634.96728
996	26628.74866
997	26619.16573
998	26617.7122
999	26612.56414
